foundation_type,target,variable,pearson,spearman,mutual_info,n
Semi-submersible  (30–60m),Total_g,Unnamed: 0,0.007377833418510741,0.15566928959553092,2.919606714925925,1242
Semi-submersible  (30–60m),Total_g,P_rated_kW,-0.7311418328850536,-0.6375543927770471,1.8537930317724525,1242
Semi-submersible  (30–60m),Total_g,Hub_height_m,-0.11773668515205288,-0.1502548793958395,1.902634590842781,1242
Semi-submersible  (30–60m),Total_g,Diameter_m,-0.5039877507208138,-0.37506074724899513,1.6995044801569879,1242
Semi-submersible  (30–60m),Total_g,Longitude,0.1746067825567611,0.11616289802703474,2.3081265446600385,1242
Semi-submersible  (30–60m),Total_g,Latitude,0.24774907283928188,0.16221044042365196,2.3457161769380117,1242
Semi-submersible  (30–60m),Total_g,Offshore,,,,1242
Semi-submersible  (30–60m),Total_g,Lifetime_production_kWh,-0.7897011986345471,-0.6413376807934703,1.8998608497118012,1242
Semi-submersible  (30–60m),Total_g,Capacity_factors,-0.610676969152928,-0.45069846937506236,0.3373331580957304,1242
Semi-submersible  (30–60m),Total_g,turbine_age,0.12512573790745374,0.20863979844180355,1.5600690529064443,1242
Semi-submersible  (30–60m),Total_g,Cluster,-0.01932459754021261,0.36669296783572813,2.05918018680239,1242
Semi-submersible  (30–60m),Total_g,park_size,-0.18476324430637825,-0.5128235669619158,2.0190061707926983,1242
Semi-submersible  (30–60m),Total_g,Input,0.9976162405994432,0.9808592773341286,4.594187445574912,1242
Semi-submersible  (30–60m),Total_g,Assembly,0.9756023207595308,0.8456791277853746,4.485358494325974,1242
Semi-submersible  (30–60m),Total_g,Transport,0.77864779198959,0.59716913631688,2.9576078872305014,1242
Semi-submersible  (30–60m),Total_g,Maintenance,,,,1242
Semi-submersible  (30–60m),Total_g,Disposal,-0.6428811304459408,-0.4550167514310342,1.503426403672933,1242
Semi-submersible  (30–60m),Total_g,Total,1.0000000000000007,1.0,5.867756675304718,1242
Semi-submersible  (30–60m),Total_g,sea_depth_m,0.2300078122935853,0.18184415202332466,1.906860261463925,1242
Semi-submersible  (30–60m),Total_g,dist_to_grid_m,0.17070289573954506,-0.008597420541461894,1.092058434000788,1242
Semi-submersible  (30–60m),Total_g,dist_to_grid_km,0.1707028957395455,-0.008597420541461894,1.092058434000788,1242
Semi-submersible  (30–60m),Capacity_factors,Unnamed: 0,0.005358664117276954,0.19251929815283805,0.31196223205149387,1242
Semi-submersible  (30–60m),Capacity_factors,P_rated_kW,0.45311380140678414,0.4184261648248073,0.30275894824191596,1242
Semi-submersible  (30–60m),Capacity_factors,Hub_height_m,0.21399185907542853,0.23565087400282766,0.12655627957727678,1242
Semi-submersible  (30–60m),Capacity_factors,Diameter_m,0.2991473358772096,0.3517519873420369,0.13813844332384306,1242
Semi-submersible  (30–60m),Capacity_factors,Longitude,-0.1396942995430919,-0.15017506892798252,0.23046326593988908,1242
Semi-submersible  (30–60m),Capacity_factors,Latitude,-0.3321395110477756,-0.3362011375248477,0.1958050878156783,1242
Semi-submersible  (30–60m),Capacity_factors,Offshore,,,,1242
Semi-submersible  (30–60m),Capacity_factors,Lifetime_production_kWh,0.7211055913915901,0.44154616217296777,0.3992556266037486,1242
Semi-submersible  (30–60m),Capacity_factors,turbine_age,-0.20372392564476802,-0.23002305069572457,0.1377572886261449,1242
Semi-submersible  (30–60m),Capacity_factors,Cluster,0.012817666617308446,-0.07146137831025505,0.16502301112429052,1242
Semi-submersible  (30–60m),Capacity_factors,park_size,0.23694440983468443,0.24491828710727015,0.1678566769381753,1242
Semi-submersible  (30–60m),Capacity_factors,Input,-0.6218053483398165,-0.4505348268638101,0.3346544019909441,1242
Semi-submersible  (30–60m),Capacity_factors,Assembly,-0.5842464925800219,-0.4507407695352146,0.3413292401558756,1242
Semi-submersible  (30–60m),Capacity_factors,Transport,-0.3751492446988191,-0.3392355751517803,0.32326093376270926,1242
Semi-submersible  (30–60m),Capacity_factors,Maintenance,,,,1242
Semi-submersible  (30–60m),Capacity_factors,Disposal,0.3495328871834378,0.42618559995296385,0.28761612601270414,1242
Semi-submersible  (30–60m),Capacity_factors,Total,-0.6106769691529293,-0.45069846937506236,0.33713209570441816,1242
Semi-submersible  (30–60m),Capacity_factors,sea_depth_m,-0.2291774991983764,-0.22335290719743067,0.08218416707116294,1242
Semi-submersible  (30–60m),Capacity_factors,dist_to_grid_m,-0.23236325354699444,-0.2336788622043668,0.0941382176879344,1242
Semi-submersible  (30–60m),Capacity_factors,dist_to_grid_km,-0.2323632535469954,-0.2336788622043668,0.0941382176879344,1242
Semi-submersible  (30–60m),Capacity_factors,Total_g,-0.610676969152928,-0.45069846937506236,0.33713209570441816,1242
Monopile (≤30m),Total_g,Unnamed: 0,-0.04564353735316075,-0.1975873780849393,3.697001217789505,4065
Monopile (≤30m),Total_g,P_rated_kW,0.2917201758469291,0.39679809785254294,1.8451245630488315,4065
Monopile (≤30m),Total_g,Hub_height_m,0.39333532961316825,0.43940715283621024,2.7068268583194164,4065
Monopile (≤30m),Total_g,Diameter_m,0.5279531205744701,0.6149582677788509,1.9415923420440444,4065
Monopile (≤30m),Total_g,Longitude,0.13370513108157284,0.1307552156448574,3.3985170494450205,4065
Monopile (≤30m),Total_g,Latitude,0.3615170432190929,0.3560540359220126,3.140604393423434,4065
Monopile (≤30m),Total_g,Offshore,,,,4065
Monopile (≤30m),Total_g,Lifetime_production_kWh,0.03817114893834882,0.20321580600442118,2.780173946549362,4065
Monopile (≤30m),Total_g,Capacity_factors,-0.7409210010632812,-0.5698223602173753,1.6434622946150577,4065
Monopile (≤30m),Total_g,turbine_age,-0.471489645346537,-0.5727860848678603,2.148470421735436,4065
Monopile (≤30m),Total_g,Cluster,-0.07739207465376875,-0.21528359461434238,3.0065640738591144,4065
Monopile (≤30m),Total_g,park_size,-0.07109375134988448,-0.05957925620584386,2.3888457372837055,4065
Monopile (≤30m),Total_g,Input,0.9933361530196141,0.98895685723985,5.276170222721833,4065
Monopile (≤30m),Total_g,Assembly,0.8982376027589137,0.91324841266513,5.469639953646148,4065
Monopile (≤30m),Total_g,Transport,0.9451222468430276,0.9495990886420198,3.848983441762729,4065
Monopile (≤30m),Total_g,Maintenance,,,,4065
Monopile (≤30m),Total_g,Disposal,-0.24132862342458347,-0.1890840205799117,2.1080493618192,4065
Monopile (≤30m),Total_g,Total,1.000000000000007,1.0,7.053661844611972,4065
Monopile (≤30m),Total_g,sea_depth_m,0.3359629560104346,0.36248674072905446,2.168858625546352,4065
Monopile (≤30m),Total_g,dist_to_grid_m,0.1687550326028605,0.12734691308620577,1.7332421447692368,4065
Monopile (≤30m),Total_g,dist_to_grid_km,0.16875503260285982,0.12734691308620577,1.7332421447692368,4065
Monopile (≤30m),Capacity_factors,Unnamed: 0,0.057617532564319465,0.19491082582956418,1.8610353829195674,4065
Monopile (≤30m),Capacity_factors,P_rated_kW,0.055590467394909,0.08620087384969433,0.8630573776244477,4065
Monopile (≤30m),Capacity_factors,Hub_height_m,0.09131345115864578,0.17880763268148958,1.4061999902170301,4065
Monopile (≤30m),Capacity_factors,Diameter_m,-0.035121488381177395,-0.007229216916647833,1.021043114814975,4065
Monopile (≤30m),Capacity_factors,Longitude,-0.0968501904966329,-0.12876727240278327,1.6598929887776723,4065
Monopile (≤30m),Capacity_factors,Latitude,-0.3115977887563763,-0.3341096445531733,1.513884829360003,4065
Monopile (≤30m),Capacity_factors,Offshore,,,,4065
Monopile (≤30m),Capacity_factors,Lifetime_production_kWh,0.3466359652547456,0.34130601338392763,1.95302946399516,4065
Monopile (≤30m),Capacity_factors,turbine_age,-0.05701023180200483,-0.05613632122470267,1.137101012744992,4065
Monopile (≤30m),Capacity_factors,Cluster,0.034640456023243935,0.07053271459761051,1.6272431138466636,4065
Monopile (≤30m),Capacity_factors,park_size,0.14652751800197192,0.1772649579576375,1.3371663710392698,4065
Monopile (≤30m),Capacity_factors,Input,-0.7831569919597883,-0.5985059081107564,1.573281454562924,4065
Monopile (≤30m),Capacity_factors,Assembly,-0.6052517019748892,-0.535629315726843,1.6492558618279816,4065
Monopile (≤30m),Capacity_factors,Transport,-0.5372677575534581,-0.3985971547402296,1.8655173891055208,4065
Monopile (≤30m),Capacity_factors,Maintenance,,,,4065
Monopile (≤30m),Capacity_factors,Disposal,0.3432235853868111,0.4268832157526078,0.9987115868788221,4065
Monopile (≤30m),Capacity_factors,Total,-0.7409210010632771,-0.5698223602173753,1.6434809311650582,4065
Monopile (≤30m),Capacity_factors,sea_depth_m,-0.060730169832356025,-0.013661700281411053,0.5305851943490767,4065
Monopile (≤30m),Capacity_factors,dist_to_grid_m,-0.12515131430938387,-0.14992524126185958,0.8207892551385445,4065
Monopile (≤30m),Capacity_factors,dist_to_grid_km,-0.12515131430938314,-0.14992524126185958,0.8207920506210442,4065
Monopile (≤30m),Capacity_factors,Total_g,-0.7409210010632812,-0.5698223602173753,1.6434809311650582,4065
