,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived],dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_to_grid_m,sea_depth_m,turbine_age,park_size,P_rated_kW,Hub_height_m,Diameter_m,Lifetime_production_kWh,Capacity_factors,Tower_mass_kg,Nacelle_mass_kg,Blade_mass_kg,Foundation_mass_kg,Aluminium,Cast iron,Copper,HDPE,Lead,Steel (low-alloy),Lubricating oil,PVC,Tin,Steel (chromium),Rubber,Fiberglass,Epoxy resin,Iron ore,PP
35679,9.033305028145802e-05,0.0154140511136831,2.25261798866956e-05,0.015345775624963,4.574930883343724e-05,0.0881351755489767,0.0810845086461147,0.007050666902862,0.1952740148549756,5.791307491127683e-06,2.369099083304117e-05,0.0002214524543313,1.0964204931302407e-10,8.662058659280158e-11,2.3021462720222552e-11,4.4366661618381824e-10,4.286187430619476e-10,1.5047873121870674e-11,0.000848827190951,0.6328312023492458,2.7499337363791084e-07,2.216333069282875e-10,1.299554772656896e-09,8.6406322427387e-05,0.0097816663761015,400152.9137671533,679455.8422030436,444674.2297530606,31765.234016337086,207.0,5,200,5000,117,137,297840000.0,0.34,676350.5135728859,216273.41074999998,143335.91846000002,7799.21333333333,2219.3378957296404,68087.79680613898,4911.018403564447,1754.5183691611687,0.49999493162765707,716844.2382629934,1391.8179137481034,1252.3395458898513,0.49999493162765707,136825.46726530266,300.40150537780517,111407.49157511222,3252.228266606614,4166.666666666665,157.76481521846864
36972,7.478775105731106e-05,0.0116702251853373,1.903073448240506e-05,0.0116089808562482,4.221359460666341e-05,0.0730772650885871,0.0676576785061404,0.0054195865824466,0.1515816351362301,4.808045301834091e-06,1.7879631542610745e-05,0.0001655275539132,8.522683083372429e-11,7.037540320766604e-11,1.4851427626058347e-11,4.314611950740882e-10,4.1565382197072334e-10,1.580737310336492e-11,0.0006916868937485,0.6154360641107082,3.027970479023992e-07,1.6270703052555063e-10,1.014169476867956e-09,6.593361987805178e-05,0.0077875094065403,400111.0110954618,679413.8685663983,444632.267745674,31781.14843648816,207.0,15,200,2300,65,93,137006400.0,0.34,180357.33975867,86092.7685707,61142.066940000004,4514.213333333331,890.7072867300936,28895.856904823166,3192.7443936022964,1587.3389571011917,0.49999493162765707,198537.26935914796,1155.966326351734,1131.7258995255202,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,867.2474208004122,1916.666666666666,142.4972352354174
