,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived],dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_to_grid_m,sea_depth_m,turbine_age,park_size,P_rated_kW,Hub_height_m,Diameter_m,Lifetime_production_kWh,Capacity_factors,Tower_mass_kg,Nacelle_mass_kg,Blade_mass_kg,Foundation_mass_kg
75336,0.0001599298624889,0.0319338166461528,3.90749885086019e-05,0.0318375799916974,5.716166594682527e-05,0.1702770440853241,0.1582607870032526,0.0120162570820716,0.3815545109355563,1.3730093096510812e-05,4.066481339100653e-05,0.0003752373290843,2.3583396971584113e-10,1.5889470722236728e-10,7.693926249347398e-11,7.630036210053503e-10,7.399952776760567e-10,2.300834332929438e-11,0.0019646440216604,0.6835131356001533,3.5342899791765905e-07,5.081319904896767e-10,2.7088213932885533e-09,0.0001597054332875,0.01488368632532,302121.7865102295,598332.4713008136,630493.8509520451,3432.884672133491,33.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1623606.015037592
75339,0.0001588819578567,0.0317194619480723,3.885397551738583e-05,0.0316236044431361,5.7003529418841966e-05,0.1690745603656067,0.1571288261956047,0.0119457341700021,0.3792037429839121,1.362231767457404e-05,4.0419477682160266e-05,0.0003729421315909,2.342335048672501e-10,1.5794000405628116e-10,7.62935008109691e-11,7.574890420930984e-10,7.34653465396981e-10,2.283557669611812e-11,0.0019559980276002,0.6827699076743553,3.5097149152681e-07,5.043434110229965e-10,2.691512789681316e-09,0.0001586851447719,0.01479363729035,303400.7425377896,597732.6943700695,631396.227170854,2792.2817674091525,32.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1605777.4436090207
75340,0.0001617192632039,0.0323580401139775,3.949546144829474e-05,0.0322610755347059,5.746911782328341e-05,0.1723445184933558,0.1601889702717627,0.0121555482215931,0.3861531755239994,1.3921755792227567e-05,4.113929949736738e-05,0.000379607140258,2.390316046147842e-10,1.6075101504419084e-10,7.828058957059341e-11,7.70086862155075e-10,7.469237348227855e-10,2.3163127332290178e-11,0.0019814343317924,0.6849082757598308,3.54507304650147e-07,5.152847731769266e-10,2.744922830493552e-09,0.0001616818897221,0.0150597106818429,303529.040909264,597693.7259600956,631540.0295498464,2468.315162676679,35.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1659263.1578947348
75341,0.0001616949999306,0.0323575254572635,3.949373337454685e-05,0.03226056337344,5.746835044901669e-05,0.1723170469594261,0.1601616820286625,0.0121553649307637,0.3861426391912954,1.3919883885737685e-05,4.1137927403943255e-05,0.0003795888231588,2.3903127111811593e-10,1.6074684192864286e-10,7.82844291894732e-11,7.697778662635849e-10,7.466296802831143e-10,2.3148185980471098e-11,0.0019813921112182,0.6848986203546976,3.542081412034699e-07,5.152479836707151e-10,2.7450220124473443e-09,0.0001616762297471,0.0150593805585531,304082.0013263098,597045.801502761,630771.7623004316,2293.4801845713678,35.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1659263.1578947348
75342,0.0001598140841552,0.0319319920986121,3.90668271976163e-05,0.0318357669945409,5.715827687362328e-05,0.1701489136428917,0.1581333556011144,0.0120155580417774,0.3815136986308493,1.3721082817984126e-05,4.065862420349339e-05,0.000375153289717,2.3583266578575e-10,1.5887466925142596e-10,7.695799653432407e-11,7.61515447542911e-10,7.385790473112741e-10,2.2936400231637448e-11,0.0019644524330801,0.6834766619443715,3.519830525458231e-07,5.07969050216929e-10,2.709367313814108e-09,0.0001596807317341,0.0148821409212589,303924.2411954875,597152.4011358863,630763.3938955049,2586.7409994953005,33.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1623606.015037592
75344,0.0001616804962548,0.0323571797785768,3.949269529758375e-05,0.0322602192079658,5.7467875313442086e-05,0.1723004473404427,0.1601452025533094,0.0121552447871333,0.3861357706969378,1.3918769630213677e-05,4.113708564088201e-05,0.0003795776711116,2.3903105444736487e-10,1.6074435492200862e-10,7.828669952535634e-11,7.695939868719991e-10,7.464546933078287e-10,2.3139293564170943e-11,0.0019813662781816,0.6848922703067246,3.540304218630969e-07,5.152252324740884e-10,2.745076922342333e-09,0.000161672707454,0.0150591814238887,304677.4722960876,596393.5243268358,630074.4602259377,2189.68586436806,35.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1659263.1578947348
75345,0.0001626900398214,0.0325710562699729,3.971102112073131e-05,0.0324737203053591,5.7624943493049546e-05,0.1734610690612646,0.1612354978411184,0.0122255712201463,0.3884749101828446,1.4023544049050456e-05,4.138044233466742e-05,0.0003818456971113,2.406311447811793e-10,1.6169239387397103e-10,7.893875090720839e-11,7.746127404571623e-10,7.513246467152194e-10,2.3288093741943585e-11,0.0019899507694355,0.6856253343312628,3.5600515593695785e-07,5.189623480611308e-10,2.762580944802066e-09,0.0001626852731031,0.015148724392922,304506.4900103387,596504.0151829945,630049.4219573418,2547.5580815047024,36.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1677091.7293233061
75347,0.0001580028970681,0.0315073624838795,3.8644810097176784e-05,0.0314118675136482,5.685016013410756e-05,0.1680570342910861,0.1561809164008584,0.0118761178902278,0.3769064124733676,1.3527732391944368e-05,4.018293782425429e-05,0.0003707673297185,2.3263475692027907e-10,1.5701460324999987e-10,7.562015367027938e-11,7.541535375319597e-10,7.313853947131731e-10,2.2768142818787385e-11,0.0019476250882297,0.6820737031912273,3.5063448982685333e-07,5.00784351738162e-10,2.6733613750528246e-09,0.000157699397621,0.0147058227896473,304671.1278818121,596161.3656204486,629372.7112232454,3393.270602535654,31.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1587948.8721804493
75348,0.0001617737077357,0.03235856611959,3.949925478200824e-05,0.0322615962966652,5.747056814284144e-05,0.1724032165327651,0.1602474319256948,0.0121557846070704,0.3861673900514967,1.392603388035444e-05,4.114202162378697e-05,0.0003796448897897,2.39032066623621e-10,1.6076050354363919e-10,7.827156307998195e-11,7.707938889670122e-10,7.475965904531991e-10,2.319729851381389e-11,0.0019815192313245,0.6849203790071526,3.55196940213006e-07,5.153547638229314e-10,2.744627906332825e-09,0.0001616922926149,0.0150604217002752,304989.75844171835,595927.2229661033,629340.7843323407,2872.4573334471243,35.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1659263.1578947348
75349,0.0001617184635632,0.0323576827080293,3.9495358855660615e-05,0.03226071840368,5.746894549364808e-05,0.1723420184428881,0.1601865709519149,0.0121554474909733,0.3861477240591436,1.3921736168044512e-05,4.113906115148319e-05,0.0003796047216686,2.3903143860990246e-10,1.6075094486872634e-10,7.828049374117622e-11,7.700840787173544e-10,7.469210950555937e-10,2.316298366176133e-11,0.0019814276133391,0.6849027804780857,3.545073745395582e-07,5.152767600159206e-10,2.744886919461162e-09,0.0001616804593125,0.0150596836970433,305166.3614139938,595820.2753276321,629389.7707249452,2468.957083147699,35.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1659263.1578947348
75350,0.0001608417133306,0.0321458432855831,3.928638628879726e-05,0.032049241158864,5.731574043033811e-05,0.171328096935847,0.159242189574566,0.012085907361281,0.3838545608676153,1.3827303067628954e-05,4.090277166929016e-05,0.0003774327891207,2.3743281850997757e-10,1.5982589970932678e-10,7.760691880065086e-11,7.667734122802672e-10,7.436766558323407e-10,2.3096756447927198e-11,0.0019730619966241,0.6842107045818235,3.541927068059229e-07,5.117254196971644e-10,2.7267503462833315e-09,0.0001606960221948,0.014971910616512,305484.93583054026,595384.5889841999,628756.6940895708,3082.625586515426,34.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1641434.5864661634
