group,n,mean,std,min,p25,median,p75,max
EU-wide (all turbines),77552,0.02137709150206556,0.011698529533261514,0.0077292746270265,0.01518682843976015,0.018318182352631898,0.0241446227816403,0.1196308802954546
Onshore,72173,0.021678158514423496,0.01186276184731799,0.0077292746270265,0.0154736493426025,0.0185968086280292,0.0242201075984782,0.1196308802954546
Offshore (all buckets),5379,0.017337509891560018,0.00821065720135868,0.0078925802704852,0.01216559829139815,0.0145810864311905,0.01650121733614555,0.0466740682142984
Offshore - monopile,4122,0.013138656404126696,0.002325859108227882,0.0078925802704852,0.011632573429112825,0.01348724459138565,0.01496415135442095,0.0216395371879872
Offshore - semi-submersible,1255,0.031134533651467802,0.004780418876873979,0.0196234668514794,0.029229388084581698,0.031173992861564,0.0322034953052496,0.0466740682142984
Offshore - spar,2,0.0135421381495102,0.002647284701515336,0.0116702251853373,0.01260618166742375,0.0135421381495102,0.01447809463159665,0.0154140511136831
