variable,n,pearson_r,pearson_p,spearman_r,spearman_p
P_rated_kW,77552,0.06397412059934444,3.876600053955979e-71,0.3262072339549128,0.0
turbine_age,77552,-0.33452769634458923,0.0,-0.4618819227263177,0.0
park_size,77552,-0.06530269150816084,4.7331960283469125e-74,-0.1698517371729693,0.0
