ISO_code,Assembly,Disposal,Input,Maintenance,Transport
AT,10.73364477267186,-0.41994678395789375,80.04753854476401,0.019262120168488474,9.619501346353527
BA,14.786695890782214,-0.6303724118189946,76.23083178296449,0.014930255264573361,9.597914482807736
BE,10.829415267403323,-0.298551725392653,80.52645987373003,0.014174506932719646,8.928502077326563
BG,12.513234751317533,-0.8888383004168773,78.46072589661578,0.02199692570063627,9.892880726782924
BY,14.574044779290368,-0.7026857548360776,77.71869246589492,0.024968767984168805,8.384979741666609
CH,8.987706918409263,-0.45220341802803343,81.60024371466093,0.022604235692923347,9.841648549264907
CY,16.667610417183656,-0.2683423404283259,72.4277923082239,0.020992676150808135,11.151946938869964
CZ,14.443838257075587,-0.5189572573087388,77.77555576913502,0.023836169882359794,8.275727061215786
DE,12.845112169298673,-0.42562978160736387,78.87907251802514,0.020119146107493366,8.681325948176042
DK,12.545803778047967,-0.5107230430920331,79.21438994598445,0.09786619322088466,8.652663125838737
EE,13.965449859719895,-0.7550764344425168,78.3235138860631,0.020169816833623268,8.445942871825917
ES,10.345825233866611,-0.5385383644853176,82.06835530371592,0.03755022920831777,8.086807597694477
FI,10.582059106993958,-0.4074376551073462,78.1217771223336,0.009984264100640123,11.693617161679164
FO,10.109113091985817,-1.068249853632368,84.2757020629215,0.07820725947589688,6.605227439249164
FR,9.175062027361262,-0.43212597739202246,81.9519803037814,0.022448536839193442,9.282635109410153
GB,10.990133426033053,-0.49176962906998817,81.407184228526,0.019975898486037858,8.074476076024888
GR,14.026305490499787,-1.0552293780797246,78.17811058480932,0.03432377767715784,8.81648952509346
HR,11.831408551958594,-0.4503195412958404,79.11499781859398,0.022339213958171893,9.481573956785091
HU,11.762628874008511,-0.482630000511738,79.3372561641178,0.02130183658168139,9.361443125803735
IE,11.279219267654437,-0.8193502183569222,81.96173222214337,0.03156434142495678,7.546834387134159
IS,8.037092607822817,-0.46899235201512923,83.2608268199593,0.050262014307659336,9.120810909925359
IT,11.472349876324008,-0.5895298658499724,79.98292610459467,0.03372179756049125,9.100532087370787
LT,12.514048655818335,-0.3813713059682469,78.74167039209851,0.01612585746307542,9.109526400588317
LU,12.576252304008753,-0.382842025811553,78.30252757100797,0.017834312414158067,9.486227838380659
LV,13.17754310622406,-0.40884042320362624,79.29106032723222,0.020702861049446634,7.91953412869791
ME,13.657367950175784,-0.7576779257912899,77.72672257749778,0.017501693656718078,9.356085704460995
MK,14.10425024189994,-1.1063792663837735,77.76313439980183,0.018120964199920486,9.220873660482074
NL,13.099762497740663,-0.4113764591568632,79.42515159312458,0.020231527297404857,7.866230840994202
NO,8.236361876716938,-0.6555692931060817,82.8488417871884,0.014154632350003903,9.556210996850737
PL,16.403108980390122,-0.5722475711321752,75.88818171474162,0.017475887179010996,8.263480988821424
PT,11.017060035860977,-0.500752419318349,80.99048974039232,0.024230449984816098,8.46897219308024
RO,11.503639973645832,-0.39971863262131646,78.33901101176485,0.018927033050618873,10.538140614160014
RS,16.20776833478188,-0.2869557580894758,73.77686003183274,0.011745391103217408,10.290582000371643
SE,8.72858729489623,-0.632643699015705,81.7167996551984,0.01990722248218056,10.167349526438901
SI,10.915557348181453,-0.49647440912096813,81.69032949319592,0.04865505055970349,7.841932517183878
SK,13.330060864111221,-0.571289792162549,79.81430451743432,0.03315478919574272,7.393769621421259
UA,12.91601271718171,-0.656827880959688,76.68086615348196,0.01412777361639969,11.045821236679613
XK,19.75621014713724,-0.38902073725261094,70.2791019360387,0.0075026161915677705,10.346206037885105
