,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
14991,0,506495.95452960953,418803.0770053916,571592.1084844425,50000.0,6609.989434134812,0.0
14992,0,506222.9680011653,418407.1065395897,572332.5851151588,50000.0,7564.93716101968,0.0
14993,0,506191.00945581705,418255.13287257246,573188.7034297999,50000.0,8387.63601842997,0.0
14994,0,506128.7267217285,418456.5150451676,571237.6248708328,50000.0,6802.358113288631,0.0
14995,0,506686.3098703602,418977.34820573725,571814.9688204946,50000.0,6549.633241673203,0.0
14996,0,506637.54076920904,418484.6263415569,575027.2349894585,50000.0,9732.579867543112,0.0
14997,0,506440.93400995684,418515.53636149387,573252.1375941328,50000.0,8142.849432673341,0.0
14998,0,506190.2661457764,418544.2518042096,571082.2438040336,50000.0,6614.305455369631,0.0
14999,0,506712.8918130612,418977.8984051393,572018.7116017228,50000.0,6685.307792743857,0.0
15000,0,506295.982255964,418150.24237234244,574782.7368213772,50000.0,9871.393148655816,0.0
15001,0,506389.64020054316,418650.59320725617,571867.6660075053,50000.0,6963.524703015878,0.0
15002,0,505791.62848585873,417666.149734812,574351.2036040135,50000.0,10022.11001768471,0.0
15003,0,506233.6596762107,418331.2334308726,572968.6824477973,50000.0,8127.47384744583,0.0
15004,0,506348.58903321193,418681.11295069754,571325.8653098096,50000.0,6591.938324238211,0.0
15005,0,506548.5855236269,418794.45063991094,572065.9287147779,50000.0,6930.152071411115,0.0
15006,0,506039.2347245314,417898.6459067495,574600.8500943033,50000.0,9984.226024298267,0.0
15007,0,506427.5649228304,418473.4957601912,573453.8615669729,50000.0,8355.393123544114,0.0
15008,0,505546.9250388551,417438.71179105877,574087.582704666,50000.0,10050.039613041838,0.0
15009,0,506268.60767161706,418409.2541123778,572674.4976500438,50000.0,7812.99209086975,0.0
15010,0,506318.15088833775,418607.31692945363,571623.115000296,50000.0,6856.826397654406,0.0
15011,0,505925.00147652713,417986.3341027042,573060.2568273012,50000.0,8592.731370263109,0.0
23654,0,553763.5222882347,472143.982557767,556084.4954479245,50000.0,24816.153271039846,0.0
23655,0,553691.8035461503,472126.5445654224,555680.2888656615,50000.0,24771.147120239082,0.0
23656,0,597729.850044252,519591.248748123,558935.426337953,50000.0,21269.825991829504,0.0
23657,0,615373.8887140162,528108.3781011683,635387.8907587553,50000.0,18571.59219949635,0.0
23658,0,640757.018116888,566682.4892313413,559450.3555058166,50000.0,1739.4436507205628,0.0
23659,0,666896.2286658802,592971.3525410997,575555.677811933,50000.0,9117.054457891774,0.0
23660,0,633239.8492144382,559967.5028779896,549598.1685552658,50000.0,8933.610899925325,0.0
23661,0,667074.5565279556,593108.5101829658,575939.4573852805,50000.0,9111.83415816032,0.0
23662,0,625473.8424562901,551725.4955428907,547740.574049129,50000.0,13756.266790363536,0.0
23663,0,634169.7427670286,562559.6654034343,539806.8631338121,50000.0,19484.74868287601,0.0
26132,0,705017.4613955108,644126.1405439152,522358.21765674435,50000.0,29725.99657580473,0.0
26133,0,705353.4574204492,644564.1649970091,522005.37140208815,50000.0,29595.242875373107,0.0
26134,0,705949.3739154328,645278.0996473152,521740.0849633045,50000.0,29285.828631958284,0.0
26135,0,704791.3068167366,643960.0794910769,521859.8374315797,50000.0,30052.56115684065,0.0
26136,0,705477.1524712454,644764.069323927,521654.9397106989,50000.0,29637.78255087784,0.0
26137,0,704485.2999835801,643612.8005201555,521886.1997468478,50000.0,30272.424386678675,0.0
26138,0,705745.4458049057,645129.3948863359,521285.1306810659,50000.0,29609.36677898879,0.0
26139,0,705356.407899173,644700.4869976938,521245.9223495209,50000.0,29880.83475767176,0.0
26140,0,704968.364467474,644340.4334023393,520820.37705799233,50000.0,30311.855955786403,0.0
28117,0,518265.73235038953,426222.6597950793,612428.6241602713,50000.0,4748.222099459949,0.0
28118,0,518028.6941967561,425960.4399056482,612497.8854177733,50000.0,5084.536140321039,0.0
28119,0,518030.1060552616,426016.4412034302,612035.6911680399,50000.0,4499.374955275393,0.0
28120,0,517899.1729581895,425861.9607501035,612155.5308308412,50000.0,4792.108665223808,0.0
28121,0,517195.03445463313,425142.2263449721,611859.0278044613,50000.0,5225.1664577597685,0.0
28122,0,517200.2116775229,425108.7299125767,612190.3519244919,50000.0,5619.393357017294,0.0
28123,0,517197.5185274823,425075.4812767924,612448.3734853612,50000.0,5937.505099912359,0.0
30475,0,653729.7537935895,594507.5397397309,479248.103166338,50000.0,14292.418556613007,0.0
30476,0,653818.1419545395,594581.2037843383,479385.8896312456,50000.0,14216.45962257022,0.0
30477,0,653733.0124397322,594492.9444874466,479350.2110865898,50000.0,14304.440832214586,0.0
30478,0,653631.1344977069,594387.0051676771,479309.2954334568,50000.0,14410.05199365355,0.0
30479,0,653554.3904170546,594310.8799202109,479257.86461795884,50000.0,14486.295616530868,0.0
30480,0,653556.2025183643,594328.4145881771,479170.87249728135,50000.0,14470.806642652311,0.0
30494,0,709419.5419881196,648753.1378064397,524098.6395665904,50000.0,26053.557208462484,0.0
30495,0,709272.8809488202,648572.421910309,524191.96907255583,50000.0,26098.864462889647,0.0
30659,0,499392.57135597186,431096.91792167234,449296.7064477088,50000.0,6731.872025519824,0.0
30660,0,499109.8319199621,430818.30242654216,449157.88611884625,50000.0,6784.24316674362,0.0
30661,0,499172.35814865323,430814.5934396088,449544.00698634976,50000.0,6373.504605114095,0.0
30662,0,498885.21717495023,430517.3456066084,449480.80978860066,50000.0,6353.537866941447,0.0
30663,0,499483.95724519505,431130.23228663695,449650.4431933753,50000.0,6368.465581712385,0.0
30664,0,498840.7559252102,430544.3890602985,449073.5725662177,50000.0,6791.6763543614525,0.0
31480,0,511679.2598442093,442298.0096054016,460507.8920661121,50000.0,11171.8242029565,0.0
31481,0,511867.36502005515,442490.5365361439,460566.20608832565,50000.0,11362.89257129962,0.0
31482,0,511681.25423772284,442316.848454032,460415.0955695978,50000.0,11183.339414982158,0.0
31483,0,511846.77937810216,442496.71921192744,460408.25263634685,50000.0,11358.234715956944,0.0
31484,0,511696.7582702063,442351.7317621479,460314.1680073684,50000.0,11211.09739283321,0.0
31533,0,752812.5974586963,679612.4197312497,631244.7711330086,50000.0,25138.925791894235,0.0
31534,0,752641.4332817663,679462.6498808297,630979.0007373184,50000.0,25373.809804141947,0.0
31535,0,752470.6614425584,679313.109194404,630714.652363811,50000.0,25607.55783230851,0.0
31536,0,752303.5264017393,679168.1512692565,630446.8786581202,50000.0,25850.861074735014,0.0
31537,0,752139.2013415446,679023.862291313,630195.2062561169,50000.0,26072.81515532417,0.0
31586,0,517821.5374594099,423590.17718192353,631687.6910570697,50000.0,24443.233610409803,0.0
31587,0,517269.48646140937,423039.58984914015,631325.6555341714,50000.0,24968.64935053466,0.0
31588,0,517321.65519383067,423058.7018356406,631670.4869998465,50000.0,24798.92612216041,0.0
31589,0,517482.2813677311,423277.56804528413,631222.5605679497,50000.0,24864.91063082186,0.0
31590,0,517477.67870081065,423305.9096226475,630909.753389586,50000.0,25001.309657598034,0.0
32908,0,497031.726737615,412466.1586737257,544776.8855412393,50000.0,16168.793712176883,0.0
32909,0,496783.5768482084,412197.30434365367,544785.8839846087,50000.0,16280.051111112105,0.0
32910,0,496729.3810724972,412186.3241416085,544469.7013070378,50000.0,16511.7295184958,0.0
32911,0,496622.1330586362,412045.9441272954,544634.7445554287,50000.0,16455.118699498744,0.0
33044,0,513008.14652975503,417960.1722494927,636511.7316165565,50000.0,23272.021439257758,0.0
33045,0,513156.27278229455,418185.64020896266,635845.081282151,50000.0,24258.734761416665,0.0
33046,0,512808.13429133466,417823.82572220545,635758.3554465502,50000.0,24123.213514911607,0.0
33047,0,512612.837716764,417602.35985947313,635891.5040981547,50000.0,23810.712519754867,0.0
34978,0,492684.0513104408,410216.72860546684,528892.1280382589,50000.0,14118.252423124059,0.0
34979,0,492591.8580967115,410149.1782053462,528689.2403667953,50000.0,14148.275982394925,0.0
34980,0,492449.3762755522,410025.4238083507,528499.1485586183,50000.0,14243.661420096374,0.0
34996,0,505479.5493509142,416403.6653569795,581233.2092239371,50000.0,13018.606796420816,0.0
34997,0,505723.0215535386,416625.9523332076,581531.2587445747,50000.0,13163.54910375062,0.0
34998,0,505975.3677742755,416856.9530057912,581835.8333719134,50000.0,13321.631147910197,0.0
35009,0,520236.1925798497,427121.02308809373,622966.4832005169,50000.0,16856.733425540413,0.0
35010,0,520127.00472547015,427005.4612771739,622955.4533112957,50000.0,16928.806149881584,0.0
35011,0,520055.8966664753,426928.28080873284,622965.4291082001,50000.0,16998.782321733874,0.0
35015,0,502019.41669001296,415061.61687873804,563856.2394761047,50000.0,3949.66718241108,0.0
35016,0,501757.9875302633,414819.4958733219,563576.9281329794,50000.0,3778.9013595781907,0.0
35017,0,501836.43390798185,414931.44458274543,563382.904605488,50000.0,3991.0483858615967,0.0
35018,0,668604.8102077306,600994.8336021884,537416.3677032791,50000.0,18012.535864768088,0.0
35019,0,668863.9281525569,601235.375232466,537697.8477405857,50000.0,18166.74575609451,0.0
35020,0,669101.0289991889,601457.1891620227,537945.196798923,50000.0,18296.6599784855,0.0
35546,0,506648.7372300557,411927.5187829191,629324.8887519229,50000.0,28778.161139281296,0.0
35547,0,506538.71997167455,411847.96811471327,628964.3109096366,50000.0,28623.564067431438,0.0
35548,0,538687.265703948,450268.208751915,595661.726911842,50000.0,21489.335283218403,0.0
35549,0,538549.7483215999,450173.9535346515,595248.2395546174,50000.0,21064.037556930052,0.0
35560,0,510623.7239607939,444450.59907354746,442444.0139388049,50000.0,16739.453467454758,0.0
35561,0,510692.92682035314,444495.49592606915,442604.90277053206,50000.0,16803.216231002887,0.0
35578,0,524871.5354472518,432005.83447732875,623636.0108794417,50000.0,12831.96836427532,0.0
35579,0,524626.7934504974,431702.4230919269,624003.8634110652,50000.0,13572.55557766192,0.0
35586,0,506669.59598417155,412008.31431505247,628764.4157442834,50000.0,28620.878520137787,0.0
35587,0,506654.21097877924,412041.793707956,628288.7819749888,50000.0,28410.275115481294,0.0
35592,0,712167.1538428989,654948.3880213165,506585.4917080255,50000.0,14594.413385095004,0.0
35593,0,712680.9431749686,655548.6891985565,506460.6056186531,50000.0,15039.580616765723,0.0
35596,0,665841.8249675237,600078.4065026251,524594.9754381155,50000.0,3555.6934735312516,0.0
35597,0,665909.7808279025,600168.4664961261,524508.2512617187,50000.0,3367.7830334909495,0.0
35598,0,659662.1332161203,592596.044055829,528349.324009379,50000.0,16217.39979198079,0.0
35599,0,659778.1326607283,592675.102031842,528644.8007118062,50000.0,16416.98454375546,0.0
35600,0,680782.3418810877,616108.2566334629,527964.612787331,50000.0,12414.072478239123,0.0
35601,0,680164.9411176539,615493.5668401084,527539.5071497246,50000.0,11798.760962299166,0.0
35604,0,572413.7978785335,480299.11396845174,647511.62894836,50000.0,11374.540423850716,0.0
35605,0,570802.4156670568,478720.5544505276,646152.5729984797,50000.0,13021.586386453297,0.0
35606,0,665372.4866696505,599634.9252847324,524137.8500785168,50000.0,3728.0462667486436,0.0
35607,0,665294.0630057063,599561.2090534638,524059.20989947673,50000.0,3760.4940977601254,0.0
35612,0,733292.8929371615,674530.7392728027,530039.9204423577,50000.0,11408.015003467648,0.0
35613,0,732847.8766880198,674097.0416124022,529659.4330177021,50000.0,11473.847222379076,0.0
35614,0,704158.8209619528,638098.7841817259,551985.9001350871,50000.0,35516.84004149615,0.0
35615,0,704002.0996685933,637948.8745879156,551837.2992852473,50000.0,35595.04075473632,0.0
35618,0,711680.665414117,645359.9152266033,558753.2382073232,50000.0,33078.90532244638,0.0
35619,0,711391.9360593234,645033.9557919883,558776.0613812341,50000.0,32725.879613321074,0.0
35620,0,662306.7975382047,601273.4968516413,494890.3259314351,50000.0,16076.94659986966,0.0
35621,0,662666.0588180115,601636.7534924434,495096.80622278526,50000.0,15906.998552634315,0.0
35622,0,727929.5048984472,668497.4575336858,530011.2213072417,50000.0,18993.794718627712,0.0
35623,0,727856.9714467938,668426.2743131366,529952.2951119199,50000.0,19019.702383729145,0.0
35674,0,507180.48802567367,417664.60162943526,585543.5522887527,50000.0,13570.415232599584,0.0
35675,0,507206.0988682181,417704.6988958198,585447.5160533966,50000.0,13611.375352247293,0.0
35821,0,690203.8589289582,613764.8363097552,607905.8769170194,50000.0,36090.332196239295,0.0
35822,0,689950.2301823047,613516.4499086,607695.0066844972,50000.0,35850.05927481832,0.0
35823,0,489796.47256180795,410470.67599192826,508010.33507581893,50000.0,24866.487154611677,0.0
35824,0,489916.7275266791,410637.7562838279,507783.78848427674,50000.0,25054.346253713626,0.0
35829,0,492713.02781281207,411956.4102523116,518157.20121599914,50000.0,15846.179531042604,0.0
35830,0,493180.70010042767,412402.41031256807,518518.3277088631,50000.0,15385.016399515029,0.0
35831,0,493620.6842851295,409671.4428720406,538943.7806850482,50000.0,20341.357932995154,0.0
35832,0,494232.352634153,410286.775068518,539232.2606779615,50000.0,19923.33543377662,0.0
35835,0,689971.9014482171,613475.283896642,608131.4430728495,50000.0,36171.33438749194,0.0
35836,0,689522.4933984411,613019.0126946928,607866.1811577129,50000.0,35828.06702359308,0.0
36063,0,747475.8826421783,672956.2664601225,636003.3990815112,50000.0,14586.398468364452,0.0
36064,0,730451.4987001476,657031.5977673535,616385.3678259405,50000.0,7007.447321067589,0.0
36065,0,507135.98582843045,417606.9323281506,585618.6882631511,50000.0,13513.137736609904,0.0
36066,0,507325.85776450945,417816.759167912,585575.1596151085,50000.0,13722.766804970051,0.0
36067,0,520401.4878138034,427298.0540889579,622964.5989145228,50000.0,16724.57542587558,0.0
36068,0,514620.13545787975,419699.27486923616,636286.8559056827,50000.0,24790.238549634523,0.0
36069,0,515975.2754141139,422642.5826750523,622267.2708053367,50000.0,19787.595967034656,0.0
36070,0,506612.7919693976,411897.0241756609,629250.1588215801,50000.0,28801.1433256783,0.0
36071,0,574993.9503626077,509099.10869670706,471580.25813169865,50000.0,18707.306629591876,0.0
36072,0,499276.53572978004,430950.77100735396,449412.76454600226,50000.0,6557.437028192712,0.0
36073,0,510020.02363449434,443525.3144741583,443934.5011179521,50000.0,16174.595800784677,0.0
36074,0,508859.128286959,441174.1289765367,449930.0788878367,50000.0,14059.016695729882,0.0
36075,0,512057.42828400846,444660.2919088006,449723.0283114224,50000.0,17692.146910857216,0.0
36076,0,539217.4264443252,471480.94957749,463969.01108407625,50000.0,18018.197611104308,0.0
36077,0,725097.1604931197,672087.1990809293,492622.83392112935,50000.0,17956.31813843454,0.0
36078,0,708762.3111034739,654310.8051998697,489031.22322154464,50000.0,23023.42749738362,0.0
36079,0,716848.6802693127,650610.6139630029,561863.5136667773,50000.0,34647.86618921283,0.0
