index,GWP100_total_kgCO2eq,GWP100_gCO2eq_kWh,Input,Assembly,Maintenance,Transport,Disposal
37093,409867.3688025659,0.017435883517296722,0.014565708368938255,0.0020336988489371077,6.690378655493344e-06,0.0010282487683542802,-0.0001984628475884137
37094,409795.60105163394,0.017432830495171043,0.014562107234310746,0.0020334750168126406,6.690378655493344e-06,0.0010282929092008336,-0.00019773504380867098
37095,50098.578021539994,0.10831469234627956,0.08287241508243925,0.01486332997560041,0.00015455724702123568,0.01079241101908427,-0.000368020977865606
37096,291150.1949706833,0.011704179370043947,0.00970254682538575,0.0015620937159697688,2.8737652290959874e-06,0.0005715000696697546,-0.00013483500621042354
37097,291197.1319949477,0.011706066228993643,0.009704713563363073,0.001562228391735825,2.8737652290959874e-06,0.0005715234213285446,-0.00013527291266289594
37098,291244.2804422168,0.011707961587105672,0.009706890080008653,0.0015623636753047858,2.8737652290959874e-06,0.0005715468619866587,-0.0001357127954235209
37099,65742.69458637176,0.028427552315263834,0.02281851082706745,0.0034988631552690663,3.0911449404247136e-05,0.0022750650150570035,-0.0001957981315339312
37100,51523.76313813863,0.04901423433993401,0.03756829952591194,0.006946146828189453,6.80051886893437e-05,0.004676702567717798,-0.00024491977057452554
37101,47779.54097478431,0.11363094790426252,0.08634112465345246,0.015891662862274742,0.00017001297172335926,0.011610864775915927,-0.0003827173591039737
37102,47777.4729204372,0.11362602958627568,0.08634021696590306,0.015891606444047284,0.00017001297172335926,0.01160672711640459,-0.0003825339118026087
37103,47738.179197709636,0.11353257990322878,0.08621905947586261,0.015884075779077484,0.00017001297172335926,0.011617479172747113,-0.0003580474961817962
37104,263868.58334489685,0.010609049789174,0.008952746479264995,0.001190852755099142,2.874194833159668e-06,0.0005653074499493045,-0.00010273108997260173
37105,263833.9821402758,0.010607658619759526,0.00895114491654792,0.0011907532083666507,2.874194833159668e-06,0.0005652937077232336,-0.00010240740771143854
37106,263800.2518257111,0.010606302465184073,0.008949583706601101,0.0011906561698009535,2.874194833159668e-06,0.0005652802748561668,-0.00010209188090730699
37107,308313.73996110173,0.010095359177747523,0.008485419605752696,0.0011663136507529949,2.340756822306601e-06,0.0005329597626096294,-9.167459819010172e-05
37108,308279.1758990065,0.010094227419488754,0.008484115085477367,0.0011662325669905586,2.340756822306601e-06,0.0005329499595986322,-9.141094940011145e-05
37109,308244.80139607174,0.010093101868114601,0.008482817612186064,0.0011661519212404626,2.340756822306601e-06,0.0005329403026996814,-9.114872483391152e-05
37110,1182946.1683703726,0.012558269710553288,0.010653631832097525,0.0012418869476277428,3.794567045176781e-06,0.0007831012062114552,-0.00012414484242861203
37111,345555.92811600945,0.009825642297407886,0.008115916296623326,0.0012904774175404605,2.0326846330501533e-06,0.0005139602105917737,-9.674431198072467e-05
37112,345542.2666183834,0.00982525384223175,0.008115459105398473,0.0012904490003626176,2.0326846330501533e-06,0.0005139649636345238,-9.665191179691314e-05
37113,1182727.2364686318,0.012555945508536477,0.010650954562931253,0.0012417205392850274,3.794567045176781e-06,0.0007830795948462524,-0.00012360375557123109
37114,1182799.348683847,0.012556711058713073,0.010651786506821595,0.0012417722495896046,3.794567045176781e-06,0.0007831296300314168,-0.0001237718947747202
37115,52273.08456687357,0.1130160434976338,0.08696233244002691,0.01524873566173613,0.00015455724702123568,0.011021569472823074,-0.0003711513239735469
37116,51568.46416257037,0.11149263214890855,0.08564519461871375,0.015298899559066808,0.00015455724702123568,0.01075497575347896,-0.0003609950293722147
37117,52289.71306823218,0.1130519948375713,0.08700702758134071,0.015251513732946576,0.00015455724702123568,0.01101908066790779,-0.00038018439164500716
37118,409937.60795417265,0.0174388715123385,0.014569232746109138,0.0020339179101250895,6.690378655493344e-06,0.001028205615826497,-0.00019917513837771665
37119,345568.5470969719,0.009826001109348316,0.008116339505717279,0.0012905037225249701,2.0326846330501533e-06,0.0005139550407123381,-9.682984423932095e-05
37120,390715.0931993746,0.016621139841838953,0.013931490977720798,0.0018977415394232603,6.690378655493344e-06,0.0009376938616643244,-0.00015247691562492337
37121,390744.90960444434,0.016622408240851098,0.013932945538007196,0.0018978319490726473,6.690378655493344e-06,0.0009377112632198649,-0.00015277088810410178
37122,390685.24254920037,0.016619869986029562,0.013930034864637604,0.0018976510332582347,6.690378655493344e-06,0.0009376763387975021,-0.0001521826293192725
37123,1182510.9579471564,0.012553649475058446,0.01064830975581385,0.0012415561486534268,3.794567045176781e-06,0.0007830582329703703,-0.00012306922942437976
37124,1183231.2099660228,0.012561295739406175,0.010657067480331822,0.001242100493779928,3.794567045176781e-06,0.0007831723989925123,-0.00012483920074326426
37125,1183015.4707597054,0.012559005431349465,0.010654429369261935,0.001241936519347858,3.794567045176781e-06,0.0007831510035890173,-0.0001243060278945233
37126,420446.71165753016,0.01047842510920115,0.008551215075907089,0.001344620760774867,3.919540322085624e-06,0.0006504112661656766,-7.1741533968568e-05
37127,420443.40509266884,0.010478342702581458,0.008551105848287603,0.0013446139716229333,3.919540322085624e-06,0.0006504228009765632,-7.171945862772776e-05
37128,420441.59205683356,0.010478297517877443,0.008551039770861754,0.0013446098645144419,3.919540322085624e-06,0.0006504344462935853,-7.170610411442497e-05
37129,533180.5545278293,0.010852954440363528,0.008945598242509711,0.0013610985792498385,7.2756380305916664e-06,0.0006235942132688674,-8.461223269548098e-05
37130,533310.9291853938,0.010855608232229549,0.008948642568578224,0.0013612878023814264,7.2756380305916664e-06,0.000623629726467167,-8.522750322785961e-05
37131,533440.0723128964,0.010858236956152748,0.008951658011222474,0.0013614752302348908,7.2756380305916664e-06,0.0006236650129689132,-8.583693630412414e-05
