turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Maintenance,Transport,Disposal,Total
517,3600,10.18746,63.88419,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,8.189075005493441e-05,7.3293934410047145e-06,8.2472594581582e-09,1.072824644936675e-05,-6.066468459319409e-08,9.989597252017084e-05
517,3600,10.18746,63.88419,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.015411920061933876,0.0014772429612338823,2.3612912739355455e-06,0.00182091840748665,-3.362426991551599e-05,0.018678818452012826
517,3600,10.18746,63.88419,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,2.2682391789169037e-05,3.907778009317189e-06,1.1288063749181865e-09,6.830391371116215e-07,-5.251496948506559e-09,2.7269086245024258e-05
517,3600,10.18746,63.88419,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.015337072531520205,0.0014712234608985555,2.35907698278404e-06,0.0018178318238382223,-3.3613301957696604e-05,0.01859487359128207
517,3600,10.18746,63.88419,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,5.2165138624500685e-05,2.1117223260094943e-06,1.0854847765871943e-09,2.4035445113164144e-06,-5.71646087088533e-09,5.6675774485732296e-05
517,3600,10.18746,63.88419,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.07809870892830387,0.010209633526889906,1.9211593973611398e-05,0.01119119555135324,-0.0002012453155909677,0.09931750428492965
517,3600,10.18746,63.88419,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.07092544216987196,0.009849579135876906,1.6240288664358076e-05,0.010607239964065415,-0.0001960470384887479,0.09120245451998989
517,3600,10.18746,63.88419,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.007173266758431921,0.00036005439101299646,2.971305309253321e-06,0.0005839555872878254,-5.198277102219832e-06,0.008115049764939776
517,3600,10.18746,63.88419,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.17624889332607938,0.019355527872678423,3.122202775140576e-05,0.02504695245760818,-0.00018545521741613602,0.22049714046670124
517,3600,10.18746,63.88419,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,5.8792791439167285e-06,6.289256647833212e-07,3.1160573580506165e-10,1.5331343521993354e-07,-1.8598082897381523e-09,6.65997004136605e-06
517,3600,10.18746,63.88419,EF v3.1 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),kg N-Eq,1.931684986463658e-05,1.5281805720206706e-06,2.1277430742800767e-09,4.513696049341015e-06,-2.4326415072270977e-08,2.5336527814000276e-05
517,3600,10.18746,63.88419,EF v3.1 - eutrophication: terrestrial - accumulated exceedance (AE),mol N-Eq,0.00017233774581312163,1.591194091008583e-05,2.22295951019208e-08,4.861761832848926e-05,-2.487829848869301e-07,0.0002366407516619117
517,3600,10.18746,63.88419,EF v3.1 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),CTUh,1.174391894998986e-10,7.833440308199243e-12,2.120367967814455e-15,8.856790092642311e-13,-2.8922686849123735e-13,1.2587120231683864e-10
517,3600,10.18746,63.88419,"EF v3.1 - human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,9.406046343585241e-11,5.667565391833574e-12,9.813281342915649e-16,4.382701028610615e-13,-3.639121405068472e-15,1.0016364113727627e-10
517,3600,10.18746,63.88419,"EF v3.1 - human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,2.3378726064046196e-11,2.1658749163656706e-12,1.1390398335228904e-15,4.4740890640316956e-13,-2.855877470861689e-13,2.5707561179562392e-11
517,3600,10.18746,63.88419,EF v3.1 - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh),CTUh,4.679327471070701e-10,2.10026560905913e-11,2.642878751464688e-14,1.2904703132514592e-11,-1.0314151497747392e-13,5.017633936027132e-10
517,3600,10.18746,63.88419,"EF v3.1 - human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,4.5255103528407555e-10,2.0232870390098713e-11,2.0561251393224406e-14,1.2193562678205245e-11,-9.599994868362777e-14,4.849020296550892e-10
517,3600,10.18746,63.88419,"EF v3.1 - human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,1.538171182299465e-11,7.697857004925883e-13,5.867536121422475e-15,7.111404543093474e-13,-7.141566293846125e-15,1.6861363947624164e-11
517,3600,10.18746,63.88419,EF v3.1 - ionising radiation: human health - human exposure efficiency relative to u235,kBq U235-Eq,0.0008285031433211976,0.0001801275918100099,4.9815900139163816e-08,5.172368486831026e-05,-2.075166840669728e-07,0.00106019671921559
517,3600,10.18746,63.88419,EF v3.1 - land use - soil quality index,dimensionless,0.7978639145574707,0.00571845431728638,1.1170547643325158e-05,0.021116602964188484,-0.0003188711633284104,0.8243912712232605
517,3600,10.18746,63.88419,EF v3.1 - material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2.933777883292126e-07,1.4413095795952065e-08,2.3520506799824604e-11,3.7015972480706977e-09,-1.7413989096081998e-11,3.114985878909391e-07
517,3600,10.18746,63.88419,EF v3.1 - ozone depletion - ozone depletion potential (ODP),kg CFC-11-Eq,1.8295022686667498e-10,2.1764837671757636e-11,5.189020323619988e-14,3.746155165879534e-11,-2.4032011305763075e-13,2.419881862874065e-10
517,3600,10.18746,63.88419,EF v3.1 - particulate matter formation - impact on human health,disease incidence,1.3635787533757772e-09,9.465464542473471e-11,1.2805186915159335e-13,1.0455372677275621e-10,-1.35509999481395e-11,1.5493641774942802e-09
