Unnamed: 0,P_rated_kW,Hub_height_m,Diameter_m,Longitude,Latitude,ISO_code,Offshore,Commissioning_date,Lifetime_production_kWh,Capacity_factors,turbine_age,Cluster,park_size,Input,Assembly,Transport,Maintenance,Disposal,Total
3519,3600,84,107,-4.39601,53.40723,GB,1,2011-07-01,214444800.0,0.34,13,5238,51,0.010131580404924385,0.0013532979648001268,0.001331791795188981,,-2.7700603814694946e-05,0.012788969561098798
3520,3600,84,107,-4.39695,53.40488,GB,1,2011-07-01,214444800.0,0.34,13,5238,51,0.010131504321282564,0.0013532931541922462,0.0013318237616349602,,-2.7685718157340853e-05,0.01278893551895243
3523,3600,84,107,-4.39867,53.40598,GB,1,2011-07-01,214444800.0,0.34,13,5238,51,0.010130832161593608,0.0013532506549556258,0.0013318148070847213,,-2.755421106096984e-05,0.012788343412572985
3525,3600,84,107,-4.39732,53.40586,GB,1,2011-07-01,214444800.0,0.34,13,5238,51,0.010131281453555014,0.0013532790627368324,0.0013318125478469652,,-2.7642114400366358e-05,0.012788730949738446
3526,3600,84,107,-4.43122,53.41273,GB,1,2011-07-01,214444800.0,0.34,13,5238,51,0.010101769928527607,0.0013511744488764537,0.001331822125095705,,-2.5376991861786743e-05,0.01275938951063798
3527,3600,84,107,-4.44255,53.40686,GB,1,2011-07-01,214444800.0,0.34,13,5238,51,0.009668363648567905,0.0013180431857063345,0.0013319283798153704,,-2.4792042010683255e-05,0.012293543172078926
3531,3600,84,107,-4.4388,53.40719,GB,1,2011-07-01,214444800.0,0.34,13,5238,51,0.009669473518317496,0.0013181133604250519,0.0013319134004921677,,-2.500918646387924e-05,0.012294491092770837
3533,3600,84,107,-4.43661,53.40646,GB,1,2011-07-01,214444800.0,0.34,13,5238,51,0.009670283955411864,0.0013181646026497861,0.0013319162591808272,,-2.5167747339846862e-05,0.012295197069902631
3535,3600,84,107,-4.44066,53.40622,GB,1,2011-07-01,214444800.0,0.34,13,5238,51,0.009669070076817868,0.0013180878516716457,0.0013319309577870882,,-2.4930253702745407e-05,0.012294158632573857
3537,3600,84,107,-4.42991,53.41279,GB,1,2011-07-01,214444800.0,0.34,13,5238,51,0.010102197761120361,0.0013512014998271315,0.0013318176349332972,,-2.5460696705934183e-05,0.012759756199174856
3539,3600,84,107,-4.43307,53.41302,GB,1,2011-07-01,214444800.0,0.34,13,5238,51,0.010101150717628208,0.0013511352974798975,0.001331823774709124,,-2.5255844121511633e-05,0.012758853945695718
