turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Maintenance,Transport,Disposal,Total
37093,660,11.64218,55.843,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,0.00011127985772544255,1.160369272990213e-05,2.3367421568967924e-08,6.919834450653175e-06,-1.1164661420699706e-07,0.00012971510571335983
37093,660,11.64218,55.843,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.014565708368938255,0.0020336988489371077,6.690378655493344e-06,0.0010282487683542802,-0.0001984628475884137,0.017435883517296722
37093,660,11.64218,55.843,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,2.4840530439958602e-05,7.4851032652044534e-06,3.198310246727993e-09,4.038321169817643e-07,-2.211447410836767e-08,3.271054965828318e-05
37093,660,11.64218,55.843,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.014479894949143163,0.002023076425150807,6.68410478050782e-06,0.0010262778108749125,-0.00019843009802891423,0.017337503191920477
37093,660,11.64218,55.843,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,6.09728893551316e-05,3.1373205210960677e-06,3.075564738795608e-09,1.5671253623862304e-06,-1.06350853911174e-08,6.566977571796157e-05
37093,660,11.64218,55.843,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.11146699983288474,0.018496280722177915,5.443328388912799e-05,0.00604396489184598,-0.0009539218170283749,0.1351077569137694
37093,660,11.64218,55.843,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.10444061536498152,0.01795365440040342,4.6014518343592377e-05,0.0057045158294300805,-0.0009417353801407476,0.12720306473301787
37093,660,11.64218,55.843,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.007026384467903225,0.0005426263217744964,8.418765545535612e-06,0.000339449062415899,-1.2186436887627136e-05,0.00790469218075153
37093,660,11.64218,55.843,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.17893749263265252,0.030356843573302653,8.846311776737114e-05,0.01375917525822543,-0.0002649191596942211,0.22287705542225375
37093,660,11.64218,55.843,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,8.049417593949316e-06,1.0136395766300954e-06,8.828899622725617e-10,8.920820925243517e-08,-3.607307624094903e-09,9.149540962170024e-06
37093,660,11.64218,55.843,EF v3.1 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),kg N-Eq,1.9876268986684422e-05,2.496217871633823e-06,6.028653476879696e-09,3.0029709664847466e-06,-6.892022037697143e-08,2.53125662579029e-05
37093,660,11.64218,55.843,EF v3.1 - eutrophication: terrestrial - accumulated exceedance (AE),mol N-Eq,0.00018814032947400827,2.6737044029802047e-05,6.298435531092801e-08,3.2440597069707634e-05,-4.724807752847854e-07,0.00024690847415354407
37093,660,11.64218,55.843,EF v3.1 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),CTUh,1.3617752989143776e-10,8.89573505697573e-12,6.007757175172134e-15,5.054141226006246e-13,-6.280719460734015e-12,1.3930396736745529e-10
