turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Maintenance,Transport,Disposal,Total
31528,1500,25.77719,53.60889,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,9.232715808466757e-05,9.805207365168987e-06,1.529490106210608e-08,1.0200589174113831e-05,-7.591878235040265e-08,0.0001122723307426621
31528,1500,25.77719,53.60889,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.014424910746815976,0.0026570713584061264,4.379117280945113e-06,0.0016503713010556564,-0.0001155530136454653,0.018621179509913238
31528,1500,25.77719,53.60889,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,2.049687067334122e-05,3.5709298601265123e-06,2.0934204762492038e-09,6.291038412557681e-07,-1.4001057917670703e-08,2.468499673728208e-05
31528,1500,25.77719,53.60889,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.01436252331697348,0.0026513399470156664,4.375010781779323e-06,0.0016474475588013377,-0.00011553177654212688,0.018550154057030137
31528,1500,25.77719,53.60889,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,4.189055916915982e-05,2.160481530333367e-06,2.0130786895397555e-09,2.294638413062697e-06,-7.236045420772964e-09,4.634045614582465e-05
31528,1500,25.77719,53.60889,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.09137792209893363,0.012059030729159105,3.562873589251196e-05,0.009990450801929292,-0.0006073533973231174,0.11285567896859142
31528,1500,25.77719,53.60889,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.08493201419420293,0.011613480277834608,3.011832107400094e-05,0.009455819151127507,-0.0005989142587778184,0.10543251768546123
31528,1500,25.77719,53.60889,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.006445907904730689,0.0004455504513244957,5.510414818511013e-06,0.0005346316508017859,-8.43913854529912e-06,0.007423161283130182
31528,1500,25.77719,53.60889,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.16667830485325424,0.03976057407235147,5.79026072647321e-05,0.022488149585351856,-0.00018630196142171494,0.22879862915680058
31528,1500,25.77719,53.60889,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,6.753427088789582e-06,7.286762914460823e-07,5.778863783421621e-10,1.4041264363540937e-07,-2.462665358129762e-09,7.620631244891286e-06
31528,1500,25.77719,53.60889,EF v3.1 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),kg N-Eq,1.840187582809946e-05,2.170748878442769e-06,3.945991995498943e-09,4.342408053921151e-06,-4.592738064165315e-08,2.4873051371817225e-05
31528,1500,25.77719,53.60889,EF v3.1 - eutrophication: terrestrial - accumulated exceedance (AE),mol N-Eq,0.00016736925938145138,2.2838597248347773e-05,4.122575013669888e-08,4.6825365031381505e-05,-3.1993847137980836e-07,0.00023675450893993755
31528,1500,25.77719,53.60889,EF v3.1 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),CTUh,1.0589290733987786e-10,7.354850236180771e-12,3.932314540062204e-15,8.056514934098057e-13,-3.867256559140355e-12,1.1019008482486814e-10
31528,1500,25.77719,53.60889,"EF v3.1 - human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,8.410453232022633e-11,5.187627412951075e-12,1.8199156701203815e-15,3.9760254923106433e-13,-1.3995363085301386e-14,8.967758683499329e-11
31528,1500,25.77719,53.60889,"EF v3.1 - human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,2.1788375019651526e-11,2.167222823229696e-12,2.1123988699418227e-15,4.080489441787412e-13,-3.853261196055053e-12,2.051249798987485e-11
31528,1500,25.77719,53.60889,EF v3.1 - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh),CTUh,6.615065418152113e-10,3.231030534906879e-11,4.901333494826429e-14,1.116314074534916e-11,-4.277356812213124e-13,7.046012655633562e-10
31528,1500,25.77719,53.60889,"EF v3.1 - human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,6.360255476576161e-10,3.081401876600495e-11,3.813173422855901e-14,1.054122126780632e-11,-4.078742675205015e-13,6.770110451581353e-10
31528,1500,25.77719,53.60889,"EF v3.1 - human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,2.548099415759529e-11,1.4962865830638321e-12,1.0881600719705277e-14,6.219194775428392e-13,-1.9861413700810773e-14,2.7590220405220857e-11
31528,1500,25.77719,53.60889,EF v3.1 - ionising radiation: human health - human exposure efficiency relative to u235,kBq U235-Eq,0.0007490637838990954,0.0001604258388293511,9.238575163226684e-08,4.8173955213820545e-05,-2.331206952087154e-07,0.0009575228429986905
31528,1500,25.77719,53.60889,EF v3.1 - land use - soil quality index,dimensionless,0.663504070182345,0.019290222683238968,2.071626603734324e-05,0.01860884551554055,-0.0003012815116215652,0.7011225731355403
31528,1500,25.77719,53.60889,EF v3.1 - material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,4.941752799542125e-07,2.4488553228131938e-08,4.3619801978953335e-11,3.239076707991951e-09,-2.494496261147394e-11,5.219215847297039e-07
31528,1500,25.77719,53.60889,EF v3.1 - ozone depletion - ozone depletion potential (ODP),kg CFC-11-Eq,1.9693016047338125e-10,5.2473374306845495e-11,9.623263686765292e-14,3.365899470454163e-11,-3.450059817879301e-13,2.828137561398481e-10
