Unnamed: 0,P_rated_kW,Hub_height_m,Diameter_m,Longitude,Latitude,ISO_code,Offshore,Commissioning_date,Lifetime_production_kWh,Capacity_factors,turbine_age,Cluster,park_size,Input,Assembly,Transport,Maintenance,Disposal,Total
31751,1500,80,87,25.77719,53.60889,BY,0,2016-01-01,81622676.1741462,0.314902300054576,8,179,7,0.014424910746815976,0.0026570713584061264,0.0016503713010556564,4.379117280945113e-06,-0.0001155530136454653,0.018621179509913238
31752,1500,80,87,25.77515,53.60427,BY,0,2016-01-01,81622676.1741462,0.314902300054576,8,179,7,0.01442770867413685,0.0026572452663771173,0.0016503640059695407,4.379117280945113e-06,-0.00011607731650771765,0.018623619747256737
31753,1500,80,87,25.76784,53.60522,BY,0,2016-01-01,81622676.1741462,0.314902300054576,8,179,7,0.014422000953058806,0.0026568904972649023,0.0016501877526210673,4.379117280945113e-06,-0.00011500774816123752,0.018618450572064484
31754,1500,80,87,25.78518,53.60569,BY,0,2016-01-01,81622676.1741462,0.314902300054576,8,179,7,0.014433134143758438,0.002657582491867761,0.0016505824605374368,4.379117280945113e-06,-0.00011709399382826166,0.01862858421961632
31755,1500,80,87,25.77245,53.61143,BY,0,2016-01-01,81622676.1741462,0.314902300054576,8,179,7,0.014419460353473218,0.0026567325837566656,0.0016502405769645214,4.379117280945113e-06,-0.00011453166587538878,0.01861628096559996
35213,1650,78,66,24.79489,53.13821,BY,0,2018-10-01,40809507.7952431,0.143130989742014,6,180,3,0.021171925433653933,0.004283286080424222,0.001967180730966582,8.758627365578138e-06,-0.00020296378314777053,0.027228187089262546
35214,1650,78,66,24.78904,53.13488,BY,0,2018-10-01,40809507.7952431,0.143130989742014,6,180,3,0.02116616147980118,0.004282927816107652,0.001967054968030129,8.758627365578138e-06,-0.00020188367735647685,0.02722301921394806
35215,1650,78,66,24.79321,53.13557,BY,0,2018-10-01,40809507.7952431,0.143130989742014,6,180,3,0.021172448251407832,0.0042833185766846145,0.0019671722820267462,8.758627365578138e-06,-0.000203061753828695,0.027228635983656074
36272,3300,102,112,25.77332,53.58571,BY,0,2017-01-01,134713575.063735,0.236240135844092,7,179,7,0.017808029088584438,0.0032389414440277156,0.0020670643801265318,2.6532980925053957e-06,-0.0001414747279079197,0.022975213482923272
36273,1500,80,83,25.77742,53.60888,BY,0,2011-05-01,74362305.2494167,0.286891609758552,13,179,7,0.014885216056722854,0.0027357147312088753,0.0016624447704550742,4.80667282371527e-06,-0.00012659435444312925,0.01916158787676739
36274,225,50,30,26.77693,54.79336,BY,0,2000-01-01,9602634.76845254,0.246981346925219,24,-1,100,0.016973918115572844,0.0027931237716696928,0.0015961434106890717,7.444524974030456e-06,-0.00017908603630536755,0.02119154378660027
36275,2500,100,106,30.75518,55.16054,BY,0,2019-08-01,80811032.0395284,0.187062574165575,5,-1,100,0.024812149478239003,0.004413175062034164,0.0031999376905367987,4.423099949724099e-06,-0.00017196941526254972,0.03225771591549714
