turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Transport,Disposal,Total
35679,5000,5.02958,59.14031,EF v3.1 - water use - user deprivation potential (deprivation-weighted water consumption),m3 world eq. deprived,0.006572927719883335,0.0030409953971414026,0.00016919383526166847,-1.32923405059158e-06,0.009781787718235815
35680,5000,4.90525,59.31304,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,0.00013614254896311207,1.906660465759928e-05,1.4802710614394532e-05,-5.263132720542919e-08,0.00016995923290790045
35680,5000,4.90525,59.31304,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.02696195929526005,0.004137889740376109,0.0021282218658159584,-2.9806928223302622e-05,0.033198263973228816
35680,5000,4.90525,59.31304,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,3.1223453763487514e-05,8.358830109918763e-06,8.459386589689807e-07,-5.0164400118662364e-09,4.042320609236339e-05
35680,5000,4.90525,59.31304,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.02688030593736527,0.004124590532984387,0.0021240153726117426,-2.979704324465328e-05,0.03309911479971674
35680,5000,4.90525,59.31304,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,5.0429904131302156e-05,4.940377281803963e-06,3.3605545452464356e-06,-4.868538637478693e-09,5.8725967419715074e-05
35680,5000,4.90525,59.31304,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.14873227174730017,0.01901263560560643,0.012355916196308044,-0.0001971446706947845,0.17990367887851985
35680,5000,4.90525,59.31304,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.13755430792702686,0.01799987606182564,0.011647934791828823,-0.0001925556090465068,0.16700956317163482
35680,5000,4.90525,59.31304,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.011177963820273295,0.0010127595437807902,0.0007079814044792201,-4.589061648277777e-06,0.012894115706885027
35680,5000,4.90525,59.31304,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.3081662562226764,0.05269400834223868,0.028263768453946583,-0.0001597315018180426,0.38896430151704364
35680,5000,4.90525,59.31304,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,1.2284507146000635e-05,1.7058330339039226e-06,1.8610737417355524e-07,-1.3258667745278036e-09,1.4175121687303584e-05
35680,5000,4.90525,59.31304,EF v3.1 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),kg N-Eq,3.311215701989288e-05,4.1992614729861824e-06,6.468565335433086e-06,-2.2133685090050813e-08,4.37578501432221e-05
35680,5000,4.90525,59.31304,EF v3.1 - eutrophication: terrestrial - accumulated exceedance (AE),mol N-Eq,0.0002943289517947526,4.3374863322523396e-05,6.992387927781557e-05,-2.1609736115882984e-07,0.00040741159703393276
35680,5000,4.90525,59.31304,EF v3.1 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),CTUh,2.2474124352448888e-10,1.7856923703482025e-11,1.0490276205866302e-12,-4.992890949490715e-13,2.4314790575360844e-10
35680,5000,4.90525,59.31304,"EF v3.1 - human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,1.538587736834766e-10,1.0578455814148505e-11,5.140406043891503e-13,-3.602873890374175e-15,1.649476672281239e-10
35680,5000,4.90525,59.31304,"EF v3.1 - human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,7.088246984101222e-11,7.278467889333524e-12,5.349870161974801e-13,-4.956862210586972e-13,7.820023852548453e-11
35680,5000,4.90525,59.31304,EF v3.1 - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh),CTUh,7.49086448044336e-10,4.1330457483307563e-11,1.2554043647361846e-11,-1.0494652956805682e-13,8.028660026454373e-10
35680,5000,4.90525,59.31304,"EF v3.1 - human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,7.268539455313633e-10,3.969825765445023e-11,1.183019344986588e-11,-9.808135761728724e-14,7.782843152780621e-10
35680,5000,4.90525,59.31304,"EF v3.1 - human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,2.223250251297276e-11,1.6321998288573366e-12,7.238501974959656e-13,-6.865171950769591e-15,2.4581687367375294e-11
35680,5000,4.90525,59.31304,EF v3.1 - ionising radiation: human health - human exposure efficiency relative to u235,kBq U235-Eq,0.0011061456271196128,0.00038520238397878254,6.659572877631249e-05,-1.7725187883681478e-07,0.001557766487995871
35680,5000,4.90525,59.31304,EF v3.1 - land use - soil quality index,dimensionless,0.6585565156783533,0.012196407786259664,0.022165714055787926,-0.0002765715339127467,0.6926420659864881
35680,5000,4.90525,59.31304,EF v3.1 - material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,3.61063390761708e-07,1.6940258175443404e-08,3.7767142664519106e-09,-1.501040218621521e-11,3.817653528014171e-07
35680,5000,4.90525,59.31304,EF v3.1 - ozone depletion - ozone depletion potential (ODP),kg CFC-11-Eq,4.2047322162422607e-10,6.449614103545573e-11,4.2389153702405623e-11,-2.1126202298343907e-13,5.271472543391039e-10
35680,5000,4.90525,59.31304,EF v3.1 - particulate matter formation - impact on human health,disease incidence,2.447384527888872e-09,2.6334388931628787e-10,9.47007776533185e-11,-2.240680703658228e-11,2.7830223878218964e-09
35680,5000,4.90525,59.31304,EF v3.1 - photochemical oxidant formation: human health - tropospheric ozone concentration increase,kg NMVOC-Eq,0.0001310409949954256,1.8061665868952447e-05,2.0923491585015898e-05,-7.475425692740802e-08,0.00016995139819246652
35680,5000,4.90525,59.31304,EF v3.1 - water use - user deprivation potential (deprivation-weighted water consumption),m3 world eq. deprived,0.011571640350693644,0.005453858789943577,0.0001697362635832236,-1.2624342257896083e-06,0.017193972969994656
