,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
"Rated power + Hub height + Rotor diameter + Turbine
age + Blade mass + Nacelle mass + Tower mass +
Foundation mass",1.5566794365562642,1.757681836044188,1.3710074783749764,1.7632426103739642,1.1761863671842299,1.5698586567430701,1.5422517244411984,1.7678971909962118,1.7427476277318188,1.5212257515783,1.7576962666906142,1.7318052273026605,1.7884556957663582,1.730212751694802,1.851032510603874,0.9394888547864345,0.9561727565093003,0.5256939613766596,1.798330757421357,1.8284027874486628,0.4960619009622144,1.7404976572444617,1.7034280062190872,1.7147103473333445,1.749294117320748
Transport dist. (rotor),0.03903862827353803,0.033656672343114584,0.04849480596485795,0.03335004596518872,0.22118009760075844,0.03600707789899697,0.03544230564408634,0.03133568918431466,0.03139679985809327,0.03828765672700756,0.028230023170108778,0.030583154737796454,0.033406787768895545,0.03456295945364438,0.013417067803875,0.0545492763509434,0.05429880875989019,0.056425520868553763,0.1909540545487776,0.029176031286586333,0.05435926517956711,0.027842939820461234,0.036436966199287865,0.03392649767793986,0.03283373941441679
Transport dist. (nacelle),0.02952204334572761,0.027638034491705498,0.34151125855879816,0.027377191288940346,0.14958896907910296,0.02623426260775432,0.026051594929451076,0.023588505721342287,0.03243298706859213,0.06452838187738315,0.024167972587148444,0.022339129802207425,0.02808149856306441,0.03434791607225449,0.011625630279973905,0.03702552607599251,0.03726869872832449,0.03581760454414204,0.2382289856491127,0.031626198711714605,0.036059803717197456,0.016218052877804985,0.04007927567593164,0.025885686019448427,0.03388557683471163
Transport dist. (tower),0.05288025441360952,0.05268600470294305,0.13544297641665876,0.05253621741304307,0.24592920941789173,0.043696550021083,0.042578610923153105,0.06142626252403964,0.059394452841570064,0.07212672831818424,0.04871176978482887,0.049290192018423475,0.0595422412361245,0.06236793527847947,0.0262002430680478,0.05807040966689531,0.058542358639512834,0.05465793496294512,0.4456777804282449,0.05100733995020596,0.04950316886583008,0.03965440497069283,0.07179430535115541,0.05620322680409521,0.06071172398183091
Cable length (grid dist.),0.13684927343658887,0.01213140170189179,0.02240281194268555,0.012050064435183439,0.052956765294960566,0.13593795957419683,0.15494403477490176,0.011567864479907364,0.013092697913895964,0.14262746683848973,0.013791717598188218,0.01756721548122308,0.014039193218217116,0.01608763842871965,0.04055914026682805,0.6929599419374586,0.6765218550934973,1.1183506154609624,0.024065943084289155,0.010182177042103906,1.1519472316461397,0.03344169774111067,0.0428214561071912,0.016099515843724873,0.015171416673024603
Park size,0.010580927014149137,0.00956595422550494,0.006727483844262908,0.009639657212351138,0.0350173584633452,0.0076893169283050785,0.007983448347671307,0.006248304548331488,0.011217726241875588,0.008383434524843277,0.009705898391490194,0.009302560778728685,0.005629540042777796,0.007216454870740481,0.0031513660152093113,0.014695746436444009,0.014570705476078475,0.014740005915826767,0.010589275957234748,1.0031896918998808,0.014836347149726415,0.006978799865788184,0.012548826292411904,0.010488364792672168,0.00865885748982583
