cluster_members
"Steel (low-alloy), Steel (chromium), Cast iron, Aluminium, Fiberglass, Epoxy resin, Lubricating oil, Concrete, Reinforcing steel (rebar)"
"Copper, HDPE, PVC, PP"
"Lead, Tin"
Rubber
